,train rmse,valid rmse
0,0.4276930111868363,0.3126563801495893
1,0.38144628651128853,0.264715576101511
2,0.35086437753187216,0.2754693899401471
3,0.32372814712727604,0.32051142586502457
4,0.3003362593421733,0.2946339319475049
5,0.2806062242897766,0.2632261266647307
6,0.2644568141936309,0.3150979047999037
7,0.24778537407559492,0.24657276098369363
8,0.2342548419979694,0.18292246001695756
9,0.22289969913170674,0.2675752486471129
10,0.21169848122913917,0.1713948880935746
11,0.20414663916742426,0.19715824509441238
12,0.19343277472485165,0.20239743087712012
13,0.18391127660419854,0.18928667897479215
14,0.17704297116628492,0.19125414078723932
15,0.17002548595443454,0.3269591623749246
16,0.1659953304816994,0.18545849853728383
17,0.16023486667624579,0.17093119062185347
18,0.15828521498722825,0.1910973450142414
19,0.15622187562492842,0.499837431705247
20,0.15124796432881826,0.17525807089083617
21,0.14756059042503092,0.15930673525696415
22,0.1443353233934096,0.2190950958364054
23,0.14164652542165054,0.1579374289803068
24,0.13856143713529434,0.14715928936166997
25,0.13501220820771448,0.15308497462903067
26,0.1335897305125114,0.16222664256912558
27,0.13101337373455033,0.4405732050003832
28,0.12961598869557656,0.1484497604827998
29,0.12848338846803053,0.14588830598636807
30,0.12535705621197774,0.14866605341844794
31,0.12565525867599248,0.14074084292131364
32,0.12303514486175593,0.16118971369048976
33,0.12113449757982214,0.14641404370863031
34,0.1202786615840196,0.13945427581568715
35,0.11812897108916084,0.14130121474122706
36,0.11759397796479955,0.14293395280794216
37,0.11628766767447289,0.1394580737339151
38,0.11579448320873949,0.13833305040607283
39,0.11624029346245193,0.25657604107452725
40,0.11430207642214206,0.3684348286992139
41,0.11423295427693819,0.1344751679844533
42,0.11277373287149363,0.14271015820995528
43,0.11238266425028501,0.1481020286207817
44,0.1141386990495661,0.32725693682741697
45,0.11279457432256443,0.14347106093741377
46,0.11179534248326976,0.16814784881193823
47,0.10909784514231462,0.14774521400615961
48,0.10845068328161936,0.13471026458333235
49,0.10795759219993428,0.13623912606025376
50,0.10689088080493309,0.14305464660433953
51,0.10790566261351132,0.16061004222067354
52,0.10820339417273475,0.6106307466953018
53,0.106741483340174,0.13393352255297952
54,0.10507161846410444,0.13040215625823165
55,0.10424307235087635,0.14232628279668552
56,0.10392911246514591,0.136208759478612
57,0.10289828100238546,0.12829943070417316
58,0.10221042833641161,0.15648294489145628
59,0.10469602638078208,0.15214784937929773
60,0.10341892584194846,0.6071912468732275
61,0.1039075375587866,0.13273716851786768
62,0.10180938354520355,0.14081851042759752
63,0.10103504572428512,0.12765580335980165
64,0.10071913455415696,0.1289232932730401
65,0.1001321198285534,0.13335167643321888
66,0.10040738579531065,0.14134102958546735
67,0.1002805896160857,0.1394971448145098
68,0.1009710094195009,0.32195759935609264
69,0.10059891730998717,0.1370611379003879
70,0.09966013967014654,0.1416775151147464
71,0.0983463168381427,0.12525157497418934
72,0.09818152778930288,0.12373828471847584
73,0.09783561491761711,0.12935176754505706
74,0.09734382677156542,0.12531560825597876
75,0.09674266097235876,0.2691792954456008
76,0.09698538723054473,0.12647532636875006
77,0.09667275354536994,0.12425068513755216
78,0.09696421739574534,0.13632709159841966
79,0.09765267112253725,0.1295487941817872
80,0.09686519920879402,0.6217099521855269
81,0.09869923972036825,0.1387147541643662
82,0.09722373565582292,0.12167303249290598
83,0.09649730512600235,0.13043061372897066
84,0.0966206214231818,0.13453014643589772
85,0.09649290102549588,0.4063700755268891
86,0.09621530837363486,0.13804796524998997
87,0.09720669072496617,0.14867886382518194
88,0.10018085265656645,0.16164103151641807
89,0.09660169316447638,0.2268019315397044
90,0.09553395785077337,0.12666251666385056
91,0.09600937032437296,0.12282958978915792
92,0.09596609808620915,0.12325275129515133
93,0.09466275666718209,0.12354828534829536
94,0.09331092204353371,0.1273233809884638
95,0.09268352063079024,0.17829226558431222
96,0.09205888002787407,0.12290921571712081
97,0.09209715287929168,0.11595391493071892
98,0.09249048359445332,0.12051043453486253
99,0.09133186799123053,0.1195348922947474
